Title,Columns,Tags,Link,Abstract
Video game sales,[rank;name;platfoem;year;genre;publisher;na sales;eu sales;jp sales;other sales;global sales],[games;video games],https://www.kaggle.com/datasets/gregorut/videogamesales,This dataset contains a list of video games with sales greater than 100;000 copies. It was generated by a scrape of vgchartz.com.
World energy consumption,[country;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022],[data visualization;energy;renewable energy;tidyverse;r],https://www.kaggle.com/datasets/patricklford/world-energy-consumption,This project delves into the immense power of the sun; Earth's ultimate energy source. We'll explore the staggering amount of solar energy our planet receives and compare it to our current global energy consumption.
Songs Dataset (2000-2020; 50k Records),[title;artist;album;genre;release date;duration;popularity],[music],https://www.kaggle.com/datasets/waqi786/songs-dataset-2000-2020-50k-records,This dataset contains information about songs released between 2000 and 2020. The dataset includes the song's title; artist; album; genre; release date; duration; and popularity.
SALIFORT Motors Dataset,[satisfaction level;last evaluation;number project;average monthly hours;time spend company;work accident;left;promotion last 5 years;department;salary],[business;automobiles and vehicles;data analytics;binary classification;employment],https://www.kaggle.com/datasets/jacopoferretti/salifort-motors-dataset,The dataset contains information about the Salifort employees (like their satisfaction level; the average monthly hours worked; and so on) and also their churn rate.
Ecommerce and supply chain dataset,[order id;customer id;order status;order purchase at;order approved at;order delivered at;order estimated],[business;e-commerce services;marketing],https://www.kaggle.com/datasets/bytadit/ecommerce-order-dataset,The E-commerce Order Dataset provides comprehensive information related to orders; items within orders; customers; payments; and products for an e-commerce platform. This dataset is structured with multiple tables; each containing specific information about various aspects of the e-commerce operations.
F1 grandprix dataset,[circuit id;circuitref;name;location;country;lat;lng;alt;url],[beginner;data visualization;classification;global;auto racing],https://www.kaggle.com/datasets/harshitstark/f1-grandprix-datavault,The F1 GrandPrix Dataset is a meticulously curated collection of data that provides an in-depth look into the world of Formula 1 racing. This dataset encompasses a wide range of information; including circuits; constructors; drivers; race results; lap times; pit stops; and much more.
Lettuce growth days,[plantID;date;temperature;humidity;tds value;ph level;growth days],[food;agriculture;asia;plants],https://www.kaggle.com/datasets/jjayfabor/lettuce-growth-days,This comprehensive dataset provides valuable insights into the growth patterns of various plants under different environmental conditions. Collected over time; it offers a detailed view of how factors such as temperature; humidity; pH level; and Total Dissolved Solids (TDS) affect the growth stages and development of these plants.
Credit risk dataset,[id;duration in months;credit history;purpose of credit;credit amount;status of savings account;present employment;personal status;installment rate in percentage],[lending],https://www.kaggle.com/datasets/satyajeetrai/credit-risk-dataset,This dataset classifies people described by a set of attributes as good or bad c
Emission by unit and fuel type,[subpart letter;name of industry;facility type],[automobiles and vehicles;exploratory data analysis;data analytics;data cleaning;atmospheric science;data storytelling],https://www.kaggle.com/datasets/shayanshahid997/emissions-by-unit-and-fuel-type?select=Industry+Type.csv,The Greenhouse Gas Reporting Program (GHGRP) collects Greenhouse Gas (GHG) data from large emitting facilities; suppliers of fossil fuels and industrial gases that result in GHG emissions when used; and facilities that inject carbon dioxide underground.
ICC Mens T20 World Cup 2024 Stats,[player;team;mat;inns;no;runs;hs;ave;sr;100;50;0],[sports;data analytics;data visualization;exploratory;data analysis;cricket],https://www.kaggle.com/datasets/arindamsahoo/icc-mens-t20-world-cup-2024-stats,This dataset contains detailed statistics from the ICC Men's T20 World Cup 2024. It includes match results; batting statistics of all players; and bowling statistics of all players. The data is structured to facilitate in-depth analysis of team performances; individual player contributions; and overall tournament trends.
Video games dataset,[img;title;console;genre;publisher;developer;critic score;total sales;na sales;jp sales;pal sales;other sales;release date;last update],[video games],https://www.kaggle.com/datasets/ujjwalaggarwal402/video-games-dataset?select=Video+Games+Data.csv,The dataset contains information on 64;018 video games; including their names; gaming consoles; genres; publishers; and developers. It also provides critic scores and total sales figures (in millions); along with sales data for different regions such as North America; Japan; and PAL regions. Additional columns include the game's box art image path; release date; and the last update date for the sales data.
Crop yield data India,[crop;crop year;season;state;area;production;annual rainfall;fertilizer;pesticide;yield],[data analytics;data visualization;exploratory data analysis;deep learning;data cleaning],https://www.kaggle.com/datasets/saincoder404/crop-yield-data-india,This dataset contains detailed information on crop yields across various states in India for the year 1997. It includes data on different crops; their production; area under cultivation; season of cultivation; and state-specific information. Additionally; the dataset provides supplementary details such as annual rainfall; fertilizer use; pesticide use; and yield for each crop. This comprehensive dataset can be used for agricultural analysis; trend prediction; and studying the impact of various factors on crop yields in India.
Microsoft security incident prediction,[id;orgid;incidentid;alertid;timestamp;detectorid;alerttitle;category;mitretechniques;incidentgrade;actiongrouped;actiongranular;entitytype;evidencerole;deviceid;sha256;ipaddress;url;accountsid;accountupn;accountobjectid;account name],[tabular;classification;categorical;feature extraction;cyber security],https://www.kaggle.com/datasets/Microsoft/microsoft-security-incident-prediction,Microsoft is challenging the data science community to develop techniques for predicting the next significant cybersecurity incident. GUIDE; the largest publicly available collection of real-world cybersecurity incidents; enables researchers and practitioners to experiment with authentic cybersecurity data to advance the state of cybersecurity. This groundbreaking dataset contains over 13 million pieces of evidence across 33 entity types; covering 1.6 million alerts and 1 million annotated incidents with triage labels from customers over a two-week period. Of these incidents; 26;000 contain additional remediation action labels from customers. The dataset includes telemetry from over 6;100 organizations; featuring 9;100 unique custom and built-in DetectorIds across numerous security products; encompassing 441 MITRE ATT&CK techniques. GUIDE offers a first of its kind opportunity to develop and benchmark next-generation machine learning models on comprehensive guided response telemetry; supporting efforts to tackle one of cybersecurity's most challenging problems.
Cleaned cricket world cup data,[match name;current innings;innings no;over;ball;batsman name;runs on that ball;batsman score;isboundary;iswide;isnoball;bowler name;bowler overs;bowler runs;bowler wickets;wicket batsman name;wicket bowler name;wicket batsman runs;wicket batsman balls;isretiredhurt],[sports;cricket;synthetic],https://www.kaggle.com/datasets/karunyaronith/cricket-world-cup-data-synthetic,The dataset enables the user to test their data cleaning and visualization skills. The whole aim of creating the dataset was to remove the pre-existing bias of a real tournament and analyze the game's data where the real names of players and teams have been mapped to synthetic names. Feel free to explore the datasets and reach up to some inferences of your own
Cambridge crime data,[file number;date of report;crime date time;crime;reporting area;neighbourhood;location],[crime],https://www.kaggle.com/datasets/melissamonfared/cambridge-crime-data-2009-2024,This dataset comprises crime incidents reported in the City of Cambridge; as featured in the Cambridge Police Department�s Annual Crime Reports; spanning from 2009 to 2024. The data provides detailed information about various crime types and their occurrences across different neighborhoods in Cambridge.
